nBlocks,directCall,discreteCall,directCallErr,discreteCallErr,directPut,discretePut,directPutErr,discretePutErr
296,14.8969,15.1323,0.108599,0.123786,5.42226,5.44797,0.0514472,0.0513038
297,14.9045,15.1278,0.108505,0.123452,5.41935,5.4497,0.0513571,0.0511607
298,14.903,15.1158,0.108152,0.123626,5.41765,5.44602,0.0512133,0.0511218
299,14.9096,15.1174,0.107996,0.123224,5.41592,5.44658,0.0510714,0.0509542
300,14.9113,15.1172,0.107649,0.122814,5.41496,5.45121,0.0509105,0.0509952
301,14.9055,15.1167,0.107449,0.122407,5.41493,5.44735,0.0507417,0.0509723
302,14.9152,15.1155,0.10753,0.122008,5.41264,5.44411,0.0506259,0.0509069
303,14.9133,15.1177,0.107192,0.121626,5.4108,5.44385,0.0504927,0.0507399
304,14.9193,15.122,0.107011,0.121303,5.40954,5.44173,0.0503426,0.0506179
305,14.9241,15.1206,0.106767,0.120914,5.40908,5.44349,0.0501799,0.0504828
306,14.9204,15.1297,0.106485,0.120863,5.41285,5.44104,0.050158,0.0503776
307,14.9277,15.1262,0.106388,0.120523,5.41509,5.43911,0.0500451,0.0502508
308,14.931,15.1206,0.106096,0.120262,5.42053,5.44146,0.0501791,0.0501429
309,14.916,15.1228,0.106814,0.119895,5.42005,5.43661,0.0500193,0.0502153
310,14.9177,15.1261,0.106484,0.119554,5.42091,5.43643,0.0498656,0.0500539
311,14.9236,15.1256,0.106305,0.119171,5.42207,5.43671,0.0497189,0.049894
312,14.9131,15.1356,0.106477,0.119207,5.42234,5.43413,0.0495605,0.0498012
313,14.9107,15.1328,0.106165,0.11886,5.4221,5.43639,0.049403,0.0496939
314,14.9129,15.1421,0.105848,0.118845,5.41896,5.43443,0.0493459,0.0495746
315,14.9122,15.1347,0.105515,0.118693,5.41717,5.43361,0.0492222,0.0494242
316,14.9144,15.1383,0.105204,0.118371,5.41976,5.43314,0.0491352,0.0492704
